Site Name,Services,Cost,Latitude,Longitude,Site Type,Comments
,ElectricToiletsTrashBlack WaterGrey WaterFresh Water,€13.00,47.669647,12.481615,Rest Area & Services,End of autumn and the site is closed but you can use the facilities for €13.00 per night.  Electric is an extra €12.00The grounds and setting are nice but a tad expensive giving everything is shut including reception.
,Trash,€0.00,47.672002,12.086872,Mixed Parking,Loose gravel parking space in middle of country.  Small lake and waterfall. Ideal for walking and hiking.  No limitations for overnight.
,,€0.00,47.685178,12.056983,Mixed Parking,Small loose gravel car park. Ideal for walking or hiking in the area.  Popular with bikers at weekend.  No restrictions.
,,€0.00,47.712379,11.869984,Mixed Parking,"Loose gravel car park at the edge of the lake. Just off main road, which can be busy at weekends. As you turn on to the car park you are better to park to the left, as the right hand side is busier with workers."
,,€0.00,47.482513,11.119932,Wild,"Located just to the side of the sky jump.  Plenty of reasonable priced parking at the ski centre but it is unclear if overnight parking permitted, so we moved to spot just to the side for evening.  €2.50 for 12 hour day ticket."
,Fresh Water,€2.00,47.567671,11.096769,Mixed Parking,Small car park at the side of the cemetery.  €1 for 4 hours or €2 for 24 hrs.  No restrictions on parking but you will need you chocks to get level.Water point inside cemetery.
,Trash,€0.00,47.595214,11.063918,Mixed Parking,Free car park for cars and buses. Just at the side of the river and only minutes from the village centre.
,,€0.00,47.614006,10.805273,Mixed Parking,Large grass car park at base of cable car.  Great views over countryside and lake. No restrictions.
,TrashFresh Water,€0.00,47.607747,10.710263,Mixed Parking,"Small church lay by.  On a small incline but flat spots in the middle.  Tarmac with trees for shelter. Next to main road, so can be busy.  Water tap at the gate entrance."
,,€0.00,47.793868,10.259379,Wild,"Quiet lay by beside the river.  Tarmac with slight tilt, so need chocs.  Nice views over hills will alps in background."
,,€0.00,54.481912,10.119813,Mixed Parking,"Parking area near the beach, restaurant at the bottom of the lane/beach access."
,,€0.00,54.578204,10.01705,Mixed Parking,"Park and ride car park is free but if you need services then right at the end a camper parking at €14 plus electric, water, showers."
,Fresh WaterGrey WaterBlack WaterTrashToiletsElectric,€8.00,51.765465,6.830634,Rest Area & Services,"Camper parking facility with dedicated bays and hard surface. €8 for 24 hours, €1 for 12h of electricity and €1 for 100 litres water. Grey and black facilities as well as public toilet block.Great location as set within grounds of Raesfeld schloss."
,,€0.00,51.761403,6.826678,Mixed Parking,Parking next to Raesfeld Schloss. Free level car park also next to the wooded area. Nice spot for walks and visit the Schloss. Full facilities at the aire in the town.
Burg vischering,Trash,€0.00,51.777597,7.440355,Mixed Parking,Big flat Tarmac car park. Set in the grounds of the castle and free to park. Only 5 minutes walk to the centre of the village.
Rathause,,€0.00,52.836115,8.31353,Mixed Parking,"Small, quiet car park located behind the rathause (townhall). Level, sold ground. Off main road, so no road noise or passing people.  Tap located at the side of the town hall."
,,€0.00,47.563719,9.665825,Mixed Parking,Parking at entrance is public but further along is part of restaurant 
,,€0.00,47.776086,9.767604,Mixed Parking,Behind townhall
,Fresh WaterGrey WaterBlack WaterTrashWi-FiElectricToilets,€0.00,47.8159,9.797858,Rest Area & Services,"Water is 10c for 8 litres or €1 for 80 litres, electric is on 2 posts and is about 50c per kw, free wifi at the tourist office in town which is 2 minutes away."
Hymer,,€0.00,47.927745,9.758131,Mixed Parking,Service centre with free parking and electric. Toilet facilities and water across road at garage
,Fresh WaterGrey WaterBlack WaterTrashElectric,€5.00,47.914167,9.760707,Mixed Parking & Services,Located near the spa. Fee is €5 plus €2 pp plus electric and water
,,€0.00,48.233821,9.46147,Mixed Parking,
,,€0.00,48.404897,9.256712,Mixed Parking,Car park for the castle
,Fresh WaterGrey WaterBlack WaterTrashElectric,€5.00,48.636406,9.330619,Rest Area,Water is €1 for 50 litres
Burg Platz,Trash,€0.00,48.747271,9.310812,Rest Area,Large car park with dedicated parking for 3 motorhomes
,Fresh WaterGrey WaterBlack WaterTrash,€10.00,48.894165,9.19696,Rest Area & Services,"Schloss car park with dedicated mh parking, Electric is 50c per kw and water 1c per litre."
,,€0.00,48.999156,8.805669,Rest Area & Services,"Dedicated mh parking spot with electric, toilet facilities. Max stay 48 hours, Electric & water token available from side of the toilet block costing 1€ for 2kw & 100 litres."
Bacharach,Fresh WaterGrey WaterBlack WaterTrashElectric,€5.00,50.055113,7.772008,Rest Area & Services,€5 for parking plus €2.50 for electric
,,€0.00,50.144228,7.721437,Campsite,Lolibrick
,,€0.00,50.251135,7.445801,Rest Area,Free parking for mh. Max stay 28 hours. Suitable for up to 6 motorhomes
,,€0.00,50.227452,7.445376,Mixed Parking,
,,€0.00,50.227452,7.445376,Mixed Parking,
,,€0.00,50.16899,7.272113,Mixed Parking,
,,€0.00,50.16899,7.272113,Mixed Parking,
,,€0.00,50.154917,7.16862,Mixed Parking,Night parking not permitted
,,€0.00,50.140497,7.170022,Mixed Parking,Parking fee during day
,,€0.00,50.138787,7.181828,Mixed Parking,
,,€0.00,50.143316,7.219437,Mixed Parking,
,,€0.00,50.143316,7.219437,Mixed Parking,
,,€9.00,50.143316,7.219437,Rest Area & Services,Behind wine house
,,€0.00,50.117571,7.232255,Mixed Parking,
,,€0.00,50.112595,7.21036,Mixed Parking,
,,€0.00,50.093194,7.159895,Mixed Parking,
,,€5.00,50.099684,7.143584,Rest Area & Services,
,,€0.00,50.104444,7.117579,Mixed Parking,
,,€0.00,50.08052,7.131162,Mixed Parking,
,,€0.00,50.054106,7.127293,Mixed Parking,
,,€0.00,50.040577,7.165488,Mixed Parking,
,,€0.00,49.98403,7.121504,Mixed Parking,
,,€0.00,49.94946,7.112078,Mixed Parking,
,,€0.00,49.979586,7.089399,Mixed Parking,
,,€0.00,49.97221,7.057183,Rest Area & Services,
,,€0.00,49.973226,7.05333,Mixed Parking,
,,€0.00,49.978934,7.007627,Mixed Parking,
,,€0.00,49.905299,6.977685,Mixed Parking,
,,€0.00,49.905299,6.977685,Rest Area & Services,
,,€9.00,49.905989,6.976883,Rest Area & Services,Good pitches and price includes electric and water. Small supermarket in village
,,€0.00,49.910394,6.900694,Mixed Parking,
Treviris,,€10.60,49.741671,6.625037,Rest Area & Services,"Water & electric extra. 70c per kw, 10c per 10 litres. Parking charged by the hour and overnight so €10.60 for 24 hours."
,ToiletsTrashFresh WaterShowers,€0.00,38.833475,22.652593,Wild,Gravel area next to beach.
,Fresh WaterGrey WaterTrash,€0.00,38.796398,22.536036,Mixed Parking & Services,"The hot gates monument, water available at one end of the monument."
,,€0.00,38.777286,22.460035,Wild,"Gravel lay by, good as lunch stop with super views."
Museum,,€0.00,38.480227,22.50003,Mixed Parking,"Parking at museum next to main road, not idea and very busy in the day, close to town centre though."
Apollo,Fresh WaterGrey WaterBlack WaterToiletsShowersTrashElectricWi-Fi,€19.00,38.48271,22.475638,Campsite,Good campsite with stunning views.
,,€0.00,38.332342,23.736165,Wild,"Shingly beach to right, harbour to left"
Amphiaraion sanctuary,,€0.00,38.289692,23.843421,Mixed Parking,Limited parking but OK if you get there when it's closed and have to wait.
,,€0.00,38.289184,23.930098,Wild,On street parking next to little beach. Would be very busy in summer.
,,€0.00,38.28781,23.936653,Wild,On street parking next to little beach. Would be very busy in summer.
,,€0.00,38.26289,23.977789,Wild,On street parking next to pebble beach. Would be busy in summer.
,Trash,€0.00,37.570822,22.800865,Mixed Parking,Large parking area on port and marina
,,€0.00,37.5904,22.765697,Wild,Parking on the beach
,,€0.00,37.584242,22.744927,Mixed Parking,Car park close to beach
,Fresh WaterTrash,€0.00,37.527674,22.731542,Wild,"Small pebble area next to marina, water available on roadside."
,Fresh WaterGrey WaterBlack WaterTrashToilets,€0.00,37.524915,22.72539,Service Only,"Large church has fresh water, huge drain and communal toilet facilities under the main entrance"
,Fresh Water,€0.00,37.461725,22.746913,Mixed Parking,"Rest area beside main road, great views"
,Fresh WaterToiletsTrash,€0.00,37.445002,22.747972,Wild,Parking by the beach
,Fresh WaterTrash,€0.00,37.406332,22.756618,Wild,
,,€0.00,37.287922,22.840069,Mixed Parking,Rest area with great views
,,€0.00,37.115584,22.902673,Mixed Parking,Parking at a small harbour
,,€0.00,37.030919,22.827534,Mixed Parking,"Small car park by a church, not ideal but OK to break a journey."
,,€0.00,40.24741,23.257158,Wild,Parking right on the beach.
,,€0.00,40.320708,23.031933,Wild,Grassy area next to beach
,Fresh WaterGrey WaterBlack WaterTrashToiletsElectricWi-Fi,€0.00,40.502606,22.971196,Rest Area & Services,"Free overnight parking at camping shop. Open 9-9 M-F, 9-5 S and shut Sunday"
,,€0.00,40.484291,22.322508,Mixed Parking,"Parking for archaeological site. Kiosk at the entrance but clearly shut down, we assume for winter? "
,Trash,€0.00,39.984732,21.502446,Wild,"On way to Meteora, On street parking, Only used because it was late, very quiet though."
,,€0.00,39.725509,21.632287,Wild,Fantastic spot and views. Water available from the monastery.
,Grey WaterFresh WaterTrashShowers,€0.00,40.775702,23.805293,Wild,Parking on the beach Including fresh water and shower.
,Fresh Water,€0.00,40.764127,23.77289,Wild,Parking beside the beach
,Fresh WaterTrash,€0.00,40.757012,23.756207,Wild,Small sandy harbour with taverna.
Camping Achilles,,€0.00,40.757571,23.750941,Campsite,"We have not used it just drove by, cost unknown."
,,€0.00,40.75586,23.738024,Wild,"Beach parking, bit scruffy."
,TrashToiletsShowersFresh Water,€0.00,40.747033,23.727895,Wild,Access to beach area.
Asprovalta Camping,,€0.00,40.735689,23.716196,Campsite,Not used so no comments or price.
,,€0.00,40.712397,23.704576,Wild,Parking close to beach.
,TrashFresh Water,€0.00,40.665423,23.701824,Mixed Parking,Parking close to beach.
,,€0.00,40.66368,23.705069,Wild,"Recreation area close to beach, some shade too."
,Trash,€0.00,40.591226,23.787952,Mixed Parking,Small harbour side gravel parking
,TrashShowersToilets,€0.00,40.585631,23.79614,Wild,"Just outside Olympiada, beach side parking"
,,€0.00,40.585807,23.795723,Wild,"Some areas soft sand, others hard sand. We got stuck in sand!"
,,€0.00,40.585788,23.795835,Wild,
,,€0.00,40.521574,23.823212,Wild,
Sculpture Beach,,€0.00,40.417749,23.860348,Wild,Remote location with odd weird rock
,,€0.00,40.410486,23.865138,Wild,
,,€0.00,40.401068,23.877382,Mixed Parking,
,,€0.00,40.398535,23.883995,Wild,
,,€0.00,40.387235,23.815692,Wild,Stopping point off the main road if your passing. OK for lunch with good views
,,€0.00,40.303645,23.694301,Wild,Parking next to the beach.
,TrashFresh Water,€0.00,40.235312,23.732057,Wild,"Parking on a small marina, Fresh fish available and a few tavernas close by."
,,€0.00,40.248161,23.722852,Wild,"Secluded bay, water available at Ormos Panagias"
,Trash,€0.00,40.248335,23.722722,Wild,"On beach. Very quiet, water available at Ormos Panagias"
,,€0.00,37.082503,22.311035,Mixed Parking,Good place to park up and walk to caves
,,€0.00,36.980156,22.150036,Wild,Straight on beach
,Fresh WaterTrashToiletsShowers,€0.00,36.933811,22.144025,Wild,"Small gravel road leading down to beach. Sheltered with trees. Small taverna a few meters away, which closes in winter"
,Fresh WaterTrashShowers,€0.00,36.94932,22.143393,Wild,Quiet stretch of beach. Pebble and sand. A couple of tavernas. Parking bays on side of road with no restrictions
,Trash,€0.00,36.954065,22.14451,Wild,Pebble cove 
Yachting club,Fresh WaterGrey WaterBlack WaterTrashToiletsElectricShowers,€0.00,37.024198,22.102232,Mixed Parking & Services,"Marina / Yachting  club. Quiet parking space behind skippers restaurant. Toilets, shower and laundry service. Laundry tokens from marina office or security cabin. Electric points dotted all around site for use by boat owners...we think you can use if you pay but how much, not sure.  Toilets are locked after 6pm but ladies generally left open"
,Fresh Water,€0.00,40.218714,23.661807,Mixed Parking,"Great spot on the marina, water available at the begging of the town"
,,€0.00,40.17676,23.715566,Campsite,Right on beach
Camping Mitari,,€0.00,40.145534,23.73822,Campsite,Not used so no comment or costs.
,,€0.00,40.133984,23.752764,Wild,
,,€0.00,40.099222,23.775199,Wild,Roadside parking at the beach.
,Fresh WaterTrash,€0.00,40.090734,23.791439,Wild,"Tarmac section leading on to beach, water available near the old boat area."
,,€0.00,40.087316,23.792378,Mixed Parking,Right on beach
,,€0.00,39.986219,23.90238,Mixed Parking,
,TrashFresh Water,€0.00,39.970785,23.919114,Wild,
,,€0.00,39.990298,23.98977,Wild,On the beach
Parkopolis,Fresh Water,€13.00,37.947403,23.645619,Mixed Parking & Services,"Secure car park in town, owner is very friendly and helpful. Waste water can be emptied in a drain around the corner."
,,€0.00,36.728601,23.026423,Wild,"Great wild spot on the beach, water available from the shower. Archaeological site also behind."
,,€0.00,36.705841,23.030892,Wild,Look out to sea
,Fresh WaterShowers,€0.00,36.688397,23.035567,Mixed Parking,Small gravel area looking out to sea.
,TrashFresh WaterElectricToiletsWi-Fi,€0.00,36.686114,23.039606,Mixed Parking & Services,Parking on the harbour side. Electric on the street light. Toilets across the road in portaloo
,Fresh WaterGrey WaterTrashBlack Water,€0.00,36.856877,22.783266,Service Only,Service station.
,,€0.00,38.431661,22.41994,Mixed Parking,"Large tarmac car park at the edge of town by a harbour wall, beach around corner."
,,€0.00,38.377765,22.634968,Mixed Parking,On street parking in pretty little town.
Loukas,,€0.00,38.395414,22.74589,Mixed Parking,"Monastery Loukas. Closest main town is Distomo, but actually Located between small villages of Steiri and Kyriakio."
,,€0.00,37.07094,22.37958,Wild,Patch of grass at side of orange groves looking up to mountains
,TrashFresh Water,€0.00,37.069575,22.377791,Mixed Parking,Camera museum. Free but no overnight permitted
Site entrance,Trash,€0.00,37.076749,22.368951,Mixed Parking,"Two entrances to the site. This is the first gate, which is mid way up the hill. Flat, small carpark with no restriction"
,Fresh WaterTrash,€0.00,37.64126,23.159089,Wild,Small pebble cove
,,€0.00,37.545265,23.303966,Wild,Little fishing marina over looking Megalochori headland
,,€0.00,37.49523,23.454922,Wild,Spare land with concrete slip over looking lovely Poros
,,€0.00,37.488398,23.469158,Wild,Next to beach
,,€0.00,37.413646,23.454267,Wild,Secluded spot looking out to Hydra 
,,€0.00,37.411285,23.374194,Wild,Quiet seafront with taverna and a few rooms
,Fresh WaterElectricTrash,€0.00,37.406996,23.270958,Wild,Large gravel area next to beach
,,€0.00,37.386619,23.247166,Mixed Parking,Roadside parking next to quay
,,€0.00,37.382896,23.248291,Mixed Parking,Parking spot near some nice tavernas and next to the boats.
,Trash,€0.00,37.326782,23.14382,Mixed Parking,Parking area on the harbour.
,,€0.00,37.336522,23.125451,Wild,"Pebble beach, very quiet."
,Fresh Water,€0.00,37.364936,23.162363,Service Only,Stone Fountain with fresh water.
,,€0.00,37.410077,23.129881,Wild,Spare land facing the boat yard
,TrashFresh Water,€0.00,37.417354,23.127027,Mixed Parking,Small port
,,€0.00,37.514802,22.856776,Mixed Parking,Car park next to marina with fresh water.
,,€0.00,37.528422,22.872681,Wild,"Gravel area overlooking the see, lots of campsite close by too."
,TrashFresh WaterToiletsShowers,€0.00,37.542535,22.822946,Wild,Fresh water points along the beach with portoloos in summer
,Fresh WaterGrey WaterBlack WaterWi-FiElectricShowersToiletsTrash,€10.00,37.908339,22.881436,Rest Area & Services,Family run aire with old chap. Really friendly
Camping Castello,,€0.00,40.125666,23.765733,Campsite,Not used so no comment or costs.
Armenistis Camping & Bungalows,Fresh WaterGrey WaterBlack WaterTrashToiletsShowersElectricWi-Fi,€0.00,40.152272,23.91373,Campsite,Not used so no comments.
Camping Lacara,,€0.00,40.170188,23.854353,Campsite,Not used so no comments.
,Fresh WaterTrash,€0.00,40.210287,23.689168,Service Only,Fuel station with lpg & water.
,,€0.00,40.260395,23.479565,Wild,Gravel lay by on the coast road.
,,€0.00,40.246163,23.261348,Wild,"Parking by the beach, Grass & sand surface."
,,€0.00,38.601816,22.377846,Service Only,
Avannis Camping,,€0.00,38.42495,22.4583,Campsite,
,Fresh WaterGrey WaterBlack WaterTrashToilets,€0.00,38.367639,23.535613,Service Only,Service station with full services
,,€0.00,38.321027,23.786198,Mixed Parking,
,,€0.00,37.974745,23.238191,Wild,Beach side parking
,Trash,€0.00,37.710873,23.130837,Mixed Parking,Parking area next to monastery.
,TrashFresh Water,€0.00,37.680145,23.152191,Mixed Parking,Parking area next to beach and harbour. Water available in the harbour.
Nea epidavros,Fresh WaterGrey WaterBlack WaterTrashToiletsShowersWi-FiElectric,€0.00,37.678661,23.148874,Campsite,Not used so no comment
,,€0.00,37.531754,22.890904,Campsite,Not used so no comment.
,,€0.00,48.316222,21.164241,Rest Area,
,,€0.00,48.124631,21.41151,Mixed Parking,"Old town parking, Next to main road but quiet at night."
,Trash,€6.00,43.846017,10.494876,Mixed Parking,Large tarmac carpark at the side of the walled city. €0.20 for 1st hour and then€1 per hour after with max €6 for the day. Reasonably quiet and well lit at night
,Trash,€0.00,43.89838,10.690508,Mixed Parking,Flat car park at the side of Lidl.  No limitations and good base for visiting the town of Pescia
,Fresh WaterGrey WaterBlack WaterTrash,€4.50,43.941822,10.915456,Rest Area & Services,Small secure aire for €4.50 per day and only 1.5km to town centre
,Trash,€0.00,43.943133,10.91476,Mixed Parking,"Large car park next to sports facility.  Flat, tarmac and free.  Local bus services to town stop on the car park but only 1.5 km to centre.  Tap to the right."
,Trash,€0.00,43.863706,11.114219,Mixed Parking,"Large, flat car park on one of the main roads in to Prado.  No services but Lidl is just across the way."
,Trash,€0.00,43.800364,11.285389,Mixed Parking,"On main road, 4 km to Florence and on bus route.  Good views over Florence at sunset.  Pizzeria and handful of shops nearby."
,Fresh WaterGrey WaterBlack WaterToiletsTrash,€0.00,43.957163,11.381406,Mixed Parking,"Flat car park over looking park, lake and ducks.  Fresh water tap, drain and public toilets.  Supermarket and all day market on a Friday."
,Black WaterFresh WaterGrey WaterTrashElectric,€0.00,44.075738,11.613117,Rest Area & Services,Free aire with excellent countryside views.  Usual services plus electricity.  Very quiet.  Only 5 minutes walk in to village with plenty little shops.
,Fresh Water,€0.00,44.271277,9.40854,Mixed Parking,"Parking all along the road, water is available in the park opposite."
,Trash,€0.00,44.253574,9.536069,Wild,"Small lay by, stunning views out to the coast, very nice small bistro nearby. "
,Fresh WaterGrey WaterBlack WaterTrashToilets,€5.00,44.103642,9.860147,Rest Area & Services,Free aire run by the ambulance team. Friendly and helpful and have all the information on visits to Cinque Terre.  All usual facilities and parking spots are on grass and gravel. Suggested donation €5 per day
,Fresh WaterTrash,€0.00,44.204942,10.093735,Mixed Parking,Small tarmac car park ideal for stopover.  Two fresh water taps.  Nice views over hillside with mountain peaks in the distance.
,Fresh WaterTrash,€0.00,44.194106,10.15149,Mixed Parking,"Smsll carpark with two nice little hill villages, castle and good mountain backdrop."
,TrashGrey WaterFresh Water,€0.00,44.20023,10.22918,Mixed Parking,Small car park with stunning views over the tuscany hillside.  Flat with access to several water points.  Short stroll and you are in the village but limited supplies.
,Fresh WaterGrey WaterTrash,€0.00,44.180072,10.335669,Mixed Parking,Gravel and grass car park with great views across countryside.  Very small hamlet with one bar.cafe.  Verrucole fortress only a short walk away. 
,Fresh WaterToiletsTrashBlack WaterGrey Water,€0.00,44.149675,10.411694,Mixed Parking,Good parking spot with lovely views and right in front of the city gate.  Public toilets and fresh water facilities in the corner.  Tarmac but need to find the right spot or get out the chocs for levelling. 
,Trash,€0.00,44.073762,10.476299,Mixed Parking,Small level and tarmac parking space with overhead trees for shade.  In the nice part of the village with the centre just 5 minutes walk away.
,TrashFresh WaterGrey WaterBlack WaterElectric,€10.00,44.072276,10.481592,Rest Area & Services,"Sosta in the town centre, right between the old and new section of town. Cost is €10 but that includes electricity. The machines is broken so no charge at the moment. Level gravel surface with plenty water and electric points. Follow for the hospital parking signs."
,,€0.00,43.747761,13.174375,Wild,Small parking bay at side of apartments and straight on beach
,,€0.00,43.74633,13.177029,Mixed Parking,Parking bay with immediate access to beach and away from rail tracks
,,€0.00,44.519447,11.216694,Service Only,
,,€0.00,44.961855,9.907337,Service Only,
,,€0.00,45.143745,9.633436,Service Only,
,,€0.00,45.3908,9.188361,Service Only,
,,€0.00,45.771785,8.580563,Mixed Parking,
,,€0.00,45.851236,8.621085,Mixed Parking,Quite grass area
,,€0.00,45.877079,8.599566,Mixed Parking,Nice car park.
,Fresh WaterGrey WaterBlack WaterTrashToilets,€0.00,45.996226,8.724208,Rest Area & Services,
,,€0.00,45.99575,8.724231,Mixed Parking,Good place and pleasant town.
,Trash,€0.00,44.406862,12.193927,Mixed Parking,Next to sports stadium and only 10 minutes walk to centre.  Very quiet at night.
,Fresh WaterGrey Water,€0.00,44.672208,12.242132,Mixed Parking,Small car park for motorhomes.  5 minutes walk to the beach or canals or cafes.  Water facility but no grey or black facilities
,Trash,€0.00,44.672438,12.246744,Mixed Parking,Dedicated parking for motorhomes.  Tariff in place during high season but it is only cheap with maximum €4 for the day.  Right on the beach.
,,€0.00,44.690632,12.184898,Wild,"Grassed area at the side of the river.  Nice, clean and quiet and only 5 minutes walk to village.  Coop at the end of the road."
Camping Venezia,Fresh WaterGrey WaterBlack WaterTrashToiletsShowersElectricWi-Fi,€18.00,45.480424,12.274968,Campsite,"Superb little campsite, close to Venice via bus stop 300m away. Heated pool, full washing facilities and washing machines. Onsite restaurant and bar with reasonable prices. All pitches are sheltered with trees. Price is €30 or €18 with asci card. Includes electricity etc."
,Trash,€0.00,45.648901,12.240253,Mixed Parking,"Car park next to Conad supermarket, 2km into the town centre, quiet at night. Also parking on the supermarket carpark opposite."
,Trash,€0.00,43.7936,7.602094,Mixed Parking,"Large car park on the border with France, free except on Fridays. 2mins to the stoney beach, camping bungalows behind. Seems quite a popular spot with campers but plenty space."
,Trash,€10.00,43.837071,7.905704,Mixed Parking,"Car park located next to the port and over looking the ocean, €1.50 per hour or €10 for the day until 8am."
,,€0.00,43.88379,8.02724,Mixed Parking,"Small dead end street, so restricted traffic flow.  Located on the west side of the river at the side of the marina.  Flat, level tarmac surface."
,,€0.00,43.885268,8.028523,Mixed Parking,On street parking plus parking in little bays just off the road.  Quiet parking spot as off the main road and at the side of the marina.  Historic town of Imperia just 5 minutes stroll.
,Trash,€0.00,44.113324,8.231655,Mixed Parking,"Residential parking space.  Flat, tarmac and just off the main road, so reasonably quiet.  Good spot sleepover spot but no attractions nearby"
,Fresh WaterTrashToiletsWi-Fi,€0.00,44.135389,8.200452,Mixed Parking,Tarmac car park for visitors to cave.  Free to use during opening times and provides great views around surrounding landscape.  Fresh water taps all around edge of car park.
,Fresh WaterTrash,€0.00,44.124709,8.210192,Mixed Parking,"Most of the town has no motorhome parking but this little car park just at the side of the church permits campers.  If parked in the corner you get a little patio, lawned area and your own tree. Nice and quiet."
,Trash,€0.00,44.178676,8.374429,Mixed Parking,Flat tarmac road with views out to see.  Good views but beach access is limited and main road is busy.
,Trash,€0.00,44.307823,8.484882,Wild,"East side of Savona near to all the historical sites and the marina.  At night, quiet with only handful of passing cars and feels safe.  The west side of town near the port area feels less safe and rather run down."
,Trash,€0.00,44.401431,8.678094,Mixed Parking,Small community car park in quiet area.  Good for stopping on way to Genoa but not much else.
,,€0.00,44.330427,9.288245,Mixed Parking,"Lay by beside the main road, good spot for overnight with great view across the bay."
,Fresh WaterBlack WaterTrashToilets,€10.00,45.765737,13.369828,Rest Area & Services,Good size aire for visiting town but expensive at €10 per day when free parking in and and around town.
,Trash,€0.00,45.763432,13.36696,Mixed Parking,"Municipal parking just 2 minutes from the aire with limitations and set amongst pruned hedges and trees.  Flat and quiet. You can use the aire services near by for black, grey and fresh for free. (Image of Aire)"
,Trash,€0.00,45.681172,13.388409,Wild,"Grass embankment located right on the side of the canal.  Great views over boats, sea and town."
,Fresh WaterGrey WaterBlack WaterTrashElectric,€16.00,45.681722,13.412031,Rest Area & Services,Camper parking at rear of town.  Aire on either left of the road s barriered with usual camper services.clean and tidy
,Trash,€4.00,45.681754,13.412024,Mixed Parking,Camper parking adjacent to the aire.  No barrier and no services but parking permitted.
,Trash,€0.00,45.700987,13.722193,Mixed Parking,Flat parking space right on sea front and close to castle.  No restrictions 
,TrashFresh Water,€0.00,45.682174,13.751221,Mixed Parking,Flat car parking with spaces for campers.  Free from 7 until 9.  States no overnight parking but most Italian campers ignore.  Nice quiet spot with marina.  To right Miramare castle and left Trieste city.
,,€0.00,46.063323,13.219042,Mixed Parking,Small car park.  Tarmac and off main road.  5 minutes walk to the park and 10 minutes to the city
,,€0.00,57.249958,25.280721,Mixed Parking,Museum carpark. €4 to enter castle ruins and restored huts. Free to park
,,€0.00,57.065415,24.400646,Mixed Parking,Good for overnight as quiet and off main road. Space for half dozen vans
,,€3.50,57.186828,24.844531,Mixed Parking,"Estate car park, free overnight you pay for the daytime to one of the attendents."
Riverside Camping,Fresh WaterGrey WaterBlack WaterToiletsTrashShowersElectricWi-Fi,€0.00,56.965159,24.08189,Campsite,"Simple aire with showers, toilets, washing machine and service. Basic €8 for motorhome plus €2.50 per adult plus €3 for electric"
,,€0.00,57.866888,24.356476,Mixed Parking,Mixed parking area.
,,€0.00,57.622746,24.386412,Rest Area,Car park beside the beach next to main road.
,,€0.00,57.514591,24.715341,Mixed Parking,Church and town parking.
,,€0.00,57.314985,25.278691,Mixed Parking,Big car park no restriction
,,€0.00,57.314228,25.281092,Mixed Parking & Services,Paved car park with toilet and fresh water facilities
Rundale hall,,€0.00,56.415323,24.031847,Mixed Parking,Car park for car and separate one for coaches. Coaches park is much better - tarmac
,,€0.00,57.155526,24.854242,Mixed Parking,Free car park opposite a park area.
,,€0.00,57.176102,24.846162,Mixed Parking,Tarmac car park
Kaunas Camping,,,54.93426,23.918432,Campsite,
,,€0.00,54.637943,24.933447,Wild,"Off main road, behind building and over looking lake"
Hill of crosses,,€2.90,56.014495,23.408854,Mixed Parking,€2.90 for 24 hours
,,€0.00,55.932461,23.319407,Mixed Parking,Cathedral parking
Tytuvenai Monastery,,€0.00,55.597712,23.201785,Mixed Parking,Monastery car park
Kaunas City Camping,Fresh WaterGrey WaterBlack WaterTrashToiletsShowersElectricWi-Fi,€18.00,54.934926,23.917061,Campsite,Good little camp ground given location. Bit nosey from nearby motorway. Small pool and sunlounge area
Grutas Park,,€0.00,54.024689,24.079531,Mixed Parking,Free to park but signs says no overnight however the security guard did say we could stay over for €6
,,€0.00,50.77715,6.01469,Mixed Parking,Parking area next to a sports centre and industrial estate. Quite at night and close to cente.
Knivskjellodden,Trash,€0.00,71.12195,25.388355,Mixed Parking,Car park for hike to official north cape.
Polarsirkelseneret,Trash,€0.00,66.551772,15.321407,Mixed Parking,Large carpark at arctic circle passing point.
Bodo ferry,ToiletsTrash,€0.00,67.288376,14.39694,Mixed Parking,Car park for ferry terminal but it is free and they dont mind you waiting
,,€0.00,68.66231,17.76332,Mixed Parking,"Car park near a hotel just off the main road, great views over the valley below."
,Fresh WaterGrey WaterBlack WaterTrashToilets,€0.00,69.14048,18.60155,Rest Area & Services,Picnic area with tommy station and superb salmon fishing.
,,€0.00,69.14368,19.05217,Mixed Parking,Sami shop beside the main road
,Fresh WaterGrey WaterBlack WaterTrashToilets,€0.00,69.27231,19.93364,Rest Area & Services,"Parking area next to lake, Popular stopping area with services."
,Trash,€25.00,63.425873,10.382041,Mixed Parking,Dedicated motorhome parking in centre. Mixed motorhome and cars spaces but no services. On street parking available but it is the same price as the car park. Tromdheim very difficult to park and even several kilometres out of town the car parks charge Nok20 per hours.
Holmankollen,,€0.00,59.965696,10.666798,Mixed Parking,Flat tarmac car park right at the side of the ski run. Great views over the city and fjord. No parking fees and can stay for max 48 hours
,,€0.00,68.156174,14.208219,Mixed Parking,Village car park with space for campers and coaches. Gets very busy. Close to village and easy get level on tarmac.
,Fresh WaterGrey WaterTrashToilets,€0.00,68.086984,13.172632,Mixed Parking,Great picnic spot
,Fresh WaterGrey WaterTrashToilets,€0.00,62.989775,7.882381,Mixed Parking,"Quiet spot just 20 minutes out of Kristiansund. Right on waters edge, greet spot."
